ymd,station,sal_dm,temp_dm,dd_dm,turb_dm,n2_max_dm,no2_dm,sio2_dm,po4_dm
2018-01-03,QU39,28.4161,7.1153,0.8168408304200057,0.01250000000000001,7.555226751334757e-4,27.034,51.027,2.324
2018-01-04,QU39,28.2267,6.4782,0.670698542503601,0.01449999999999998,8.03991821726264e-4,NA,NA,NA
2018-01-09,QU39,28.5004,7.146,0.44419851640429897,0.16030000000000005,5.951529218360739e-4,27.816,52.313,2.404
2018-01-10,QCS01,31.39995,7.84595,0.19934050815868432,0.035700757575757525,5.202723726821413e-4,17.0435041279007,28.5645886635474,1.40240483384882
2018-01-11,KC10,30.486400000000003,7.018800000000001,0.5835064989357193,0.057200757575757544,7.233521401573297e-4,19.9858376869888,33.8440848738674,1.4472441089258
2018-01-22,QU39,29.0054,8.001,0.2679125675385876,0.14200000000000002,9.260534979619424e-4,27.4084909022507,53.8403090736743,2.42929391719247
2018-01-12,DFO2,30.22835,7.5696,0.9207338246052927,0.21770075757575755,0.00134048557253045,19.5203986552853,32.9963047588137,1.517
2018-01-24,QU39,28.8777,7.9432,0.2354262391654629,NA,0.00110705396276316,NA,NA,NA
2018-01-31,QU39,28.3055,7.5321,0.3693295825352152,0.11575000000000002,NA,27.4304291574359,52.5755692944356,2.35663015540528
2018-02-01,QU39,28.4168,7.6159,0.2069290216142008,0.2378571428571428,NA,NA,NA,NA
2018-02-06,QU39,28.1905,7.5044,0.6382867515570751,0.09239999999999998,7.497758921472254e-4,27.3860798293309,49.7727146531851,2.34761393216157
2018-02-13,QU39,28.3726,7.5333,0.7942411354990782,0.11966666666666664,5.262334162336554e-4,26.9488240622157,53.9074541479077,2.33735420175767
2018-02-14,QU39,28.06,6.9615,0.7882259425447273,0.04228571428571426,7.111236378244144e-4,NA,NA,NA
2018-02-19,QU39,28.5277,7.2429,0.4957776881890368,0.05612500000000001,5.690630969185819e-4,26.9662740711639,53.8797930449626,2.35067780688652
2018-02-19,KC10,30.2912,6.4089,0.5070365130004575,0.3150454545454545,0.00685573075275691,20.35799086523,36.3481591027315,1.65845155007239
2018-02-20,DFO2,29.31445,6.7418,1.702473778044748,0.19054545454545452,0.013013092801478814,18.6938323353423,33.423152739995,1.464
2018-02-21,QCS01,30.345,6.5036,0.7074765217284948,0.09354545454545449,0.01068246401012908,18.1442010501826,32.9342756235842,1.45462781510136
2018-02-27,QU39,28.0997,6.7347,0.4820907150410676,0.1088,8.06770359523241e-4,25.6915600232855,49.2989960870172,2.18575616706819
2018-03-05,QU39,28.0946,6.8304,0.4678964121953868,0.22559999999999997,7.105504413841569e-4,NA,NA,NA
2018-03-06,QU39,28.1083,6.9799,0.5872904361973497,0.089,6.582630973251051e-4,25.2559578827334,45.7744568032671,2.16708245490282
2018-03-13,QU39,28.2323,7.2589,1.0460508259349126,0.2147777777777778,7.199901931979354e-4,23.4320065529632,46.008618672871,1.90121811282637
2018-03-16,QU39,28.0612,7.6114,0.9006047878445997,0.9435,0.0010506391229259,NA,NA,NA
2018-03-20,QU39,28.2328,8.6052,1.1353038404082554,0.8700000000000001,0.00118404329151699,0.0580017425693338,0.599095776521613,0.0991831867835627
2018-03-24,QCS01,31.18325,7.5245999999999995,0.43980217103080577,0.19927499999999998,8.093062374155083e-4,16.7817414181034,32.8640441356687,1.41074740105035
2018-03-27,QU39,28.8686,8.0889,0.35274634817585593,0.4630000000000001,5.158704764526532e-4,13.669176175618,23.6245184986014,1.38846139154401
2018-03-28,QU39,28.6538,8.1197,0.3499563094092082,0.2038,5.460918948402926e-4,NA,NA,NA
2018-03-27,KC10,31.06345,7.00165,1.0258062320167483,0.07327500000000003,0.01489044643175462,18.7438530491392,34.6824441996889,1.54722887343558
2018-03-31,DFO2,27.97505,7.57125,7.0331304244020885,1.0982750000000001,0.02704382364095782,10.5513680564737,19.0974482198667,0.905
2018-04-04,QU39,28.9387,8.4386,0.28293539025719383,0.3627272727272728,6.756799853345353e-4,NA,NA,NA
2018-04-12,QU39,28.578,8.9426,0.6029386155726115,0.7495,6.132358572130025e-4,2.80481605439532,11.1333672374307,0.753504125328009
2018-04-17,QU39,28.8374,8.9242,0.3563627471481823,0.07780000000000001,6.43179936959057e-4,8.77610353219137,18.9947347409094,1.33242768435124
2018-04-22,QCS01,31.5551,8.6587,0.34243013357991003,NA,0.05422996913071978,6.70268838773812,12.1081896588063,0.754075737467918
2018-04-25,DFO2,28.4433,8.713,6.155967789149031,NA,0.01200938700480955,3.96029187980396,17.4582985688276,0.425947258360566
2018-04-24,QU39,28.4513,10.1724,0.9922203747646564,0.3961,9.4399357492491e-4,3.50084716248508,14.4373052096602,0.758910622590037
2018-04-25,QU39,28.5425,10.0492,0.913121718660932,0.2264,6.543564755721375e-4,NA,NA,NA
2018-04-28,KC10,30.178449999999998,9.17985,1.4397211207409555,NA,0.00143093266972592,7.56807559154635,16.6427694830057,0.750911414990346
2018-04-16,QU39,28.8847,8.9052,0.3646282469843527,0.08399999999999999,5.947672250939382e-4,NA,NA,NA
2018-05-02,QU39,28.6658,10.9228,1.2802399661720756,0.582,0.00159696631542317,1.77162531674723,14.3901756491487,0.656597953258448
2018-05-10,QU39,28.3379,13.0312,1.389722145133419,0.2911,0.00136057679275085,NA,NA,NA
2018-05-08,QU39,28.0989,13.0908,1.8359560598156577,0.4623,9.864221010419509e-4,0.0341237252570574,6.90092740858656,0.300273806957728
2018-05-15,QU39,28.26,12.8873,2.421271000047568,0.2813,0.00302276499503764,1.66709819576408,14.8763770369432,0.512570239517165
2018-05-22,QCS01,30.9559,12.2423,1.301402251065042,0.5287692307692308,0.01579800629866678,NA,NA,NA
2018-05-23,KC10,29.45365,11.2134,8.18181493494302,0.9077692307692304,0.029484346886974676,0.0656768525065621,2.13330006673911,0.0431001120783333
2018-05-22,QU39,24.6215,16.0004,6.442912662280037,0.2326,0.00575255514866215,0.256299305454711,17.5414534977446,0.164157182800732
2018-05-25,QU39,24.8513,16.7745,5.636945985417924,0.1996,0.00768159697848879,NA,NA,NA
2018-05-29,QU39,27.4182,13.1465,4.4126323182667875,0.1663,0.00796053309621488,8.89765964729117,24.8872482728855,0.97706476669219
2018-05-29,QCS01,31.1393,11.1817,0.7020003951110994,0.7082692307692308,0.00437769720777053,1.33228695874117,4.41584218476902,0.300077059989726
2018-05-30,DFO2,27.872700000000002,9.2187,12.12601787668848,0.7467692307692307,0.08677844669053883,8.13298786714879,19.0958813932622,0.672111972005526
2018-06-04,QU39,26.8674,13.7981,2.5409941605208815,0.3172,0.00181136078807828,NA,NA,NA
2018-06-05,QU39,25.471800000000002,14.547,4.189205495650867,0.6209,0.0035057890536832,0.117421971989531,22.4660612608217,0.129018550932346
2018-06-11,QU39,23.5888,14.4892,5.6662560095988965,0.3563636363636363,0.00724292226610871,0.0618743410443103,28.1178014076903,0.1300947047741
2018-06-20,QU39,25.9289,15.1633,4.4069242193651235,0.9103636363636364,0.00277665568225598,NA,NA,NA
2018-06-19,DFO2,29.4013,9.4239,6.9615125153886765,0.4305,0.04715705220895068,10.8066666958892,16.5034524824275,0.90485478773015
2018-06-24,QCS01,30.5897,13.4887,1.517759093787845,0.6435,0.00173629397655016,NA,NA,NA
2018-06-26,QU39,24.6408,16.7093,4.696746366202774,0.465,0.00523749997195514,0.149895242797593,30.5456911163046,0.125441463729051
2018-06-27,KC10,29.0245,12.4381,3.358040261826659,0.5695000000000001,0.00391825948986113,0.0941194479325657,0.427614265700039,0.0339856818662154
2018-07-11,QU39,26.3581,15.3392,4.796409902995265,0.8728333333333332,0.01154966622035674,0.171166230652392,33.844439936581,0.221321770134296
2018-07-14,QCS01,31.0938,10.2671,1.6660004157620278,0.6938249999999999,0.00566895017190538,8.46413780855588,14.8760545378909,0.710899792298113
2018-07-15,KC10,30.2745,10.634699999999999,3.515719017280162,1.344325,0.013457817028143955,0.0712811523881344,0,0
2018-07-16,QU39,27.7826,12.5155,1.8292040231472129,0.17780000000000007,0.00288106348217781,18.7111054910427,47.2031523800327,1.72759681615703
2018-07-19,QU39,27.2842,12.9455,2.291360090988519,0.4536,0.01520664942082851,NA,NA,NA
2018-07-24,DFO2,29.3778,10.26935,12.674881293451733,0.48382499999999995,0.049744323978351095,11.0956271085232,21.2418502551465,0.928460594105564
2018-07-23,QU39,28.0545,13.3532,2.301742545929187,0.15655555555555556,0.00339161251220926,6.33539001400568,29.6176287806898,0.91632649863513
2018-07-30,QU39,27.927,14.826,4.111545911899839,0.1910999999999999,0.01079302760840122,NA,NA,NA
2018-07-31,QU39,26.8533,17.5852,4.884542920515173,0.361,0.00583537456360116,0.00128128795464186,1.0656962229146,0.184783123558758
2018-08-09,QU39,26.7778,18.9001,4.959766996413009,0.7941,0.01039810138550867,0.20498596483657,13.5086363998655,0.224535675324942
2018-08-14,QU39,27.1465,15.1763,3.7418801070288055,0.5325,0.00361068130666101,6.46514716574148,28.1753103491921,0.829447967652503
2018-08-15,QU39,26.867,14.622,3.27844981158637,0.1528,0.00505369417530816,NA,NA,NA
2018-08-21,QU39,27.6752,12.9264,2.5849026447295955,0.33449999999999996,0.00266463811988537,12.0392625977904,35.4557390391285,1.28145854161998
2018-08-21,DFO2,30.3434,9.95275,18.44118937471535,0.6730833333333333,0.053801181387221855,4.75908716242219,0.980806657131278,0.48318109039381
2018-08-19,KC10,28.6314,14.3392,4.799679812465342,0.8490833333333333,0.01102218999822178,0.154255043806208,7.5578559428211,0.117538116224042
2018-08-28,QCS01,31.2593,11.5636,1.471124214349402,0.5090833333333332,0.00111167640028709,8.24905985429175,14.6995936233067,0.683727356588254
2018-08-29,QU39,27.7579,13.5188,2.1067638928979022,0.7772727272727272,0.00315554693416079,0.107128828367714,15.4348030500003,0.264892809511374
2018-09-04,QU39,27.9374,12.7367,2.443745391629363,0.263625,0.00375944813110939,0.566346459289471,6.33608207831081,0.192583651240299
2018-09-05,QU39,28.208,12.0916,2.245763952891707,0.08924999999999997,0.0031713083752319,NA,NA,NA
2018-09-11,KC10,30.75235,12.217400000000001,1.5664757580206015,0.1237545454545454,0.00331463577638741,7.93973029415717,17.1891322318361,0.820044971084654
2018-09-13,QU39,28.0526,14.496,1.4244611061053547,0.14600000000000002,0.00114148133103774,8.56755279232353,27.5980412936128,0.982923824226721
2018-09-13,QCS01,31.1934,12.6966,2.035465726547727,0.14975454545454542,0.006772085895597215,7.89409613172151,16.1462262292624,0.75948634503126
2018-09-14,DFO2,29.720599999999997,10.5093,9.956271620340374,0.4257545454545454,0.05623300211323628,11.9937298480913,22.3548831373701,1.06124244587019
2018-09-18,QU39,27.3597,14.239,1.9042480683673375,0.2168,0.00134240947089865,4.56732556533931,21.7389663948047,0.603770946780372
2018-09-27,QU39,28.2639,11.9615,1.5972606825009734,0.1986,0.00193893702234557,NA,NA,NA
2018-09-25,QU39,27.8594,13.7054,2.8097730469514772,0.08049999999999999,0.00301159085484052,5.86285717382811,20.7164704414041,0.690303313324984
2018-10-04,QU39,27.2416,10.8442,1.838598149518816,0.3627777777777778,0.00202606663111812,7.85050829373844,31.7602091595345,0.988931799534672
2018-10-09,QU39,27.8661,11.7155,1.6928718804481375,0.1668,0.0021028334529188,12.4569810781678,34.3979282708955,1.23928216887278
2018-10-12,QU39,28.1829,11.7674,1.7786694103725722,0.27790000000000004,0.00161615014544157,NA,NA,NA
2018-10-16,QU39,28.5461,10.8339,1.3759111860779285,0.35,0.00104762170834555,10.9178686768346,35.6026914619585,1.24366090478603
2018-10-23,KC10,30.6436,9.84,1.1060750832972417,0.16472727272727272,0.00185736413144365,11.9474886522859,27.5389605857878,1.1017641916136
2018-10-30,QU39,29.1042,10.8551,0.2854473177529826,0.05615384615384616,0.00131513038893281,19.1486054761283,42.4468769112471,1.81133959135252
2018-10-24,QU39,28.7892,11.1935,1.1234175526960826,0.0840909090909091,9.118925493460916e-4,14.2112652181958,34.5956519671273,1.45725674478034
2018-11-07,QU39,28.7687,10.4402,0.7805453602347825,0.13424999999999998,6.065944969429699e-4,18.3734255526399,40.585877754432,1.77991864044803
2018-11-08,QU39,28.5133,10.4988,1.4447553282321903,0.0484444444444444,0.00190442571770243,NA,NA,NA
2018-11-19,QU39,27.8233,9.3105,1.4145530141942118,0.19077777777777777,0.00168792086072445,19.8786590384132,36.7800581448266,1.75356834175465
2018-11-21,KC10,28.5712,8.638549999999999,2.3478057089047297,0.14888636363636365,0.002623218533239065,18.8529845404029,35.3313832924327,1.51952036059773
2018-11-16,QU39,28.337,9.9267,0.9482083677573884,0.01737499999999997,8.600130184112682e-4,21.1974276662777,37.9451033101234,1.86330891175083
2018-11-28,QU39,28.743,9.4231,0.4931160437315611,0.00645454545454546,6.466894086041354e-4,24.7406841277484,43.1519966554703,2.08827174763863
2018-12-04,QU39,28.2179,8.5171,1.0712222034306933,0.01733333333333334,0.00105984855436949,23.9852161456663,44.4466186783574,2.0237735003614
2018-12-05,QU39,28.7509,9.2494,0.929693548174555,0,0.00147322153979742,NA,NA,NA
2018-12-19,QU39,28.6169,8.6185,0.35790909587137776,0.10510000000000004,7.053245682288405e-4,NA,NA,NA
2018-06-18,QU39,27.8141,11.1231,3.314786233503014,0.1634,0.00802809951802637,11.8852715237998,38.2452949546071,1.13762185190749
2019-01-16,QU39,28.0049,7.3578,0.9605743740013396,0.01100000000000001,0.00157804907488152,27.6491262636493,54.6028277813155,2.28536613966014
2019-01-21,KC10,29.3569,7.2209,1.252240906421093,0.03429999999999988,0.00114204362307473,19.3864067859472,33.3169108124235,1.56282671836503
2019-01-23,QU39,28.3814,7.7276,0.5217212370821471,0,8.51635311204658e-4,28.8998115333725,56.6583057139373,2.35942162256175
2019-01-29,QU39,28.4062,7.7769,0.545644588517348,0.02191666666666669,7.084741523578586e-4,28.4302167928038,55.9747898306295,2.31507195733178
2019-02-05,QU39,29.0285,7.6707,0.32699481751888015,0.03572727272727261,6.256083112794806e-4,29.2390938659242,59.282460856671,2.39285418825717
2019-01-24,DFO2,28.3264,7.7525,3.186452827657149,0.2142999999999999,0.00538509771973836,17.5115327818507,32.1099395705185,1.39504574058038
2019-02-12,QU39,28.5831,6.3297,0.5060970856517315,0.00162499999999998,9.87259787715569e-4,27.0475271329703,52.0861306240932,2.33276581328112
2019-02-15,KC10,31.026,6.8146,0.15059981961394442,0,7.274188170239134e-4,NA,NA,NA
2019-02-14,KC10,30.9931,6.8506,0.16430206542554515,0.38775,3.98027803614642e-4,18.9327443549482,32.686114526976,1.51319191562509
2019-02-19,DFO2,30.7881,7.5464,0.6358577294229235,0.23875,7.278342073133028e-4,18.9239977597344,31.2268036307097,1.5846751888703
2019-02-21,QU39,28.5385,6.1607,0.5573540643607657,0.04550000000000009,8.681486928194131e-4,26.476032645297,48.6231241999357,2.26682665425453
2019-02-26,QU39,28.8865,6.566,0.24990687856075056,0.09354545454545447,3.904719797329053e-4,26.5539023916947,51.8697027196094,2.28880055541295
2019-03-05,QU39,29.0165,6.4211,0.4262935004697965,0.05391666666666661,4.871217471521456e-4,25.7503110247177,53.1424662863443,2.26137182277903
2019-03-12,QU39,28.8363,6.8243,0.5525020462508792,0.6214000000000001,0.00132296058956783,13.5429519612344,25.5491735602484,1.26289181109917
2019-03-13,KC10,31.0695,6.9527,0.5044120815607585,0.12354545454545462,0.00186023105843351,15.6374681514182,27.9038599819267,1.32647277497932
2019-03-15,DFO2,30.5156,7.364,0.9024150341062978,0.41154545454545466,0.00112873423306687,10.2992115942056,19.2890956474252,0.895442892508995
2019-03-20,QU39,29.089,7.56,0.6341271753242381,0.3296923076923076,0.00102774967132074,13.8165637899518,26.6984325914816,1.37231724783653
2019-03-27,QU39,29.1485,8.6583,0.6018975636741288,0.7742999999999999,8.739334644944734e-4,1.61866737810905,10.4694256107258,0.560198679580075
2019-04-02,QU39,29.1948,9.1662,1.0887321514414907,0.05954545454545457,0.00155543710806624,0.00896670200369353,1.98680113711829,0.476391351006274
2019-04-10,QU39,29.22375314,9.382506889,NA,0.02112056118611671,0.0113429042495326,9.66951393852966,21.6855310675915,1.25771879032567
